,Car Coord X,Car Coord Y
374,385.38750000000005,129.2166666666667
375,385.2875,129.83333333333331
376,385.1875,130.45
377,385.08750000000003,131.08333333333331
378,385.0,131.73333333333335
379,384.90000000000003,132.4
380,384.8,133.08333333333331
381,384.70000000000005,133.76666666666668
382,384.6125,134.48333333333335
383,384.51250000000005,135.2166666666667
384,384.425,135.95
385,384.32500000000005,136.71666666666667
386,384.225,137.48333333333332
387,384.125,138.25
388,384.0375,139.05
389,383.9375,139.83333333333334
390,383.83750000000003,140.63333333333333
391,383.75,141.45000000000002
392,383.65000000000003,142.25
393,383.55,143.0666666666667
394,383.45000000000005,143.88333333333333
395,383.35,144.71666666666667
396,383.25,145.53333333333333
397,383.15000000000003,146.36666666666667
398,383.05,147.20000000000002
399,382.9375,148.03333333333333
400,382.83750000000003,148.88333333333333
401,382.7375,149.73333333333332
402,382.625,150.58333333333334
403,382.51250000000005,151.45000000000002
404,382.4125,152.3166666666667
405,382.3,153.20000000000002
406,382.1875,154.08333333333334
407,382.07500000000005,154.95000000000002
408,381.96250000000003,155.8166666666667
409,381.8625,156.68333333333334
410,381.75,157.51666666666668
411,381.63750000000005,158.35
412,381.5375,159.16666666666669
413,381.425,159.95000000000002
414,381.32500000000005,160.73333333333332
415,381.225,161.5
416,381.1125,162.26666666666668
417,381.01250000000005,163.0
418,380.9125,163.73333333333335
419,380.8125,164.45000000000002
420,380.70000000000005,165.15
421,380.6,165.83333333333334
422,380.5,166.51666666666668
423,380.40000000000003,167.16666666666669
424,380.3,167.8166666666667
425,380.20000000000005,168.45000000000002
426,380.1,169.0666666666667
427,380.0,169.66666666666669
428,379.88750000000005,170.25
429,379.77500000000003,170.85000000000002
430,379.65000000000003,171.45000000000002
431,379.52500000000003,172.05
432,379.375,172.65
433,379.2375,173.26666666666668
434,379.07500000000005,173.88333333333333
435,378.9125,174.5
436,378.7375,175.13333333333333
437,378.55,175.76666666666668
438,378.33750000000003,176.4
439,378.125,177.03333333333333
440,377.88750000000005,177.66666666666669
441,377.63750000000005,178.3
442,377.375,178.95000000000002
443,377.1,179.58333333333334
444,376.7875,180.23333333333335
445,376.475,180.86666666666667
446,376.13750000000005,181.5
447,375.77500000000003,182.13333333333333
448,375.38750000000005,182.75
449,375.0,183.38333333333333
450,374.58750000000003,184.0
451,374.15000000000003,184.61666666666667
452,373.70000000000005,185.23333333333335
